election_dt	county_name	polling_place_id	polling_place_name	precinct_name	house_num	street_name	city	state	zip
5/14/19	ALAMANCE	1	ALAMANCE CIVITAN CLUB HOUSE	COBLE	3328	DOCTOR PICKETT RD	BURLINGTON	NC	27215
5/14/19	ALAMANCE	10	ELMIRA COMMUNITY CENTER	BURLINGTON 7	810	WICKER ST	BURLINGTON	NC	27217
5/14/19	ALAMANCE	11	ANTIOCH COMMUNITY CHURCH	BOONE 5	1600	POWER LINE RD	ELON	NC	27244
5/14/19	ALAMANCE	12	FIRST BAPTIST CHURCH OF ELON	NORTH BOONE	621	HAGGARD AVE	ELON	NC	27244
5/14/19	ALAMANCE	13	LAKEVIEW COMMUNITY CHURCH	FAUCETTE	101	BOONE RD	BURLINGTON	NC	27217
5/14/19	ALAMANCE	14	FELLOWSHIP BAPTIST CHURCH	GRAHAM 4	2744	MAPLE AVE	BURLINGTON	NC	27215
5/14/19	ALAMANCE	15	FIRST PRESBYTERIAN CHURCH	WEST BURLINGTON	508	DAVIS ST	BURLINGTON	NC	27215
5/14/19	ALAMANCE	16	GRAHAM CIVIC CENTER	EAST GRAHAM	503	MCGEE ST	GRAHAM	NC	27253
5/14/19	ALAMANCE	17	GRAHAM RECREATION CENTER	NORTH GRAHAM	311	COLLEGE ST	GRAHAM	NC	27253
5/14/19	ALAMANCE	18	GROVE PARK BAPTIST CHURCH	BURLINGTON 5	108	TRAIL ONE	BURLINGTON	NC	27215
5/14/19	ALAMANCE	19	HAW RIVER CIVIC CENTER	HAW RIVER	110	STONE ST	HAW RIVER	NC	27258
5/14/19	ALAMANCE	2	FAIRCHILD COMMUNITY CENTER	EAST BURLINGTON	827	GRAHAM-HOPEDALE RD	BURLINGTON	NC	27217
5/14/19	ALAMANCE	20	HILLCREST ELEMENTARY SCHOOL	BURLINGTON 4	1714	DAVIS ST	BURLINGTON	NC	27215
5/14/19	ALAMANCE	21	HOLLY HILL BAPTIST CHURCH	CENTRAL BOONE	2818	EDGEWOOD AVE	BURLINGTON	NC	27215
5/14/19	ALAMANCE	22	KERNODLE SENIOR ACTIVITIES CEN	BURLINGTON 8	1535	MEBANE ST	BURLINGTON	NC	27215
5/14/19	ALAMANCE	23	MAYCO BIGELO CENTER	NORTH BURLINGTON	849	SHARPE RD	BURLINGTON	NC	27217
5/14/19	ALAMANCE	24	MEBANE ARTS COMMUNITY CENTER	SOUTH MELVILLE	622	CORREGIDOR ST	MEBANE	NC	27302
5/14/19	ALAMANCE	25	MEBANE FIRE STATION	NORTH MELVILLE	405	FIRST ST	MEBANE	NC	27302
5/14/19	ALAMANCE	26	SYLVAN ELEMENTARY SCHOOL	PATTERSON	7718	SYLVAN RD	SNOW CAMP	NC	27349
5/14/19	ALAMANCE	27	R HOMER ANDREWS ELEMENTARY SCH	GRAHAM 3	2630	BUCKINGHAM RD	BURLINGTON	NC	27217
